Nivel,Fecha y hora,Origen,Id. del evento,Categoría de la tarea
Información,12/12/2025 20:56:04,Windows Error Reporting,1001,Ninguno,"Depósito con errores 2301151089519899976, tipo 4
Nombre de evento: APPCRASH
Respuesta: No disponible
Identificador de archivo CAB: 0

Firma del problema:
P1: anfibius_uwu.exe
P2: 1.0.0.1
P3: 693d0db3
P4: flutter_windows.dll
P5: 0.0.0.0
P6: 6930abae
P7: c000041d
P8: 000000000001ccd0
P9: 
P10: 

Archivos adjuntos:
\\?\C:\ProgramData\Microsoft\Windows\WER\Temp\WER.31dfa3bc-f7b6-4ac8-9ab8-74189074c65f.tmp.WERInternalMetadata.xml

Es posible que estos archivos estén disponibles aquí:
\\?\C:\ProgramData\Microsoft\Windows\WER\ReportArchive\AppCrash_anfibius_uwu.exe_ffea957352e17ca1b3c8f4b2c255652198cb2b0_8346ef8b_9595ed76-2ddd-468c-9967-4781ad52aaf1

Símbolo de análisis: 
Nueva búsqueda de una solución: 0
Identificador de informe: e4f49ab5-d8c2-4384-8a0d-f48b0ec44f0e
Estado del informe: 268439552
Depósito con algoritmo hash: 52d146d3814487706fef54b951563548
GUID de CAB: 0"
Información,12/12/2025 20:56:02,Windows Error Reporting,1001,Ninguno,"Depósito con errores 2123018490030866067, tipo 4
Nombre de evento: APPCRASH
Respuesta: No disponible
Identificador de archivo CAB: 0

Firma del problema:
P1: anfibius_uwu.exe
P2: 1.0.0.1
P3: 693d0db3
P4: flutter_windows.dll
P5: 0.0.0.0
P6: 6930abae
P7: c0000005
P8: 000000000001ccd0
P9: 
P10: 

Archivos adjuntos:
\\?\C:\ProgramData\Microsoft\Windows\WER\Temp\WER.b163e472-2fd3-4ede-884d-d0cf52331f6e.tmp.mdmp
\\?\C:\ProgramData\Microsoft\Windows\WER\Temp\WER.6e4a9b30-c2ee-4794-a016-74f32e89ba7f.tmp.WERInternalMetadata.xml
\\?\C:\ProgramData\Microsoft\Windows\WER\Temp\WER.5b8c6bc4-fd86-4078-8ccd-d03f7a3626f2.tmp.csv
\\?\C:\ProgramData\Microsoft\Windows\WER\Temp\WER.9eb258d3-6193-430f-b831-7574a3367813.tmp.txt
\\?\C:\ProgramData\Microsoft\Windows\WER\Temp\WER.32eb6262-b632-45d3-985b-abe559aae03c.tmp.xml
\\?\C:\Users\HP\AppData\Local\Temp\WER.3c78c8aa-3b38-4edc-8002-cd41474f1631.tmp.appcompat.txt

Es posible que estos archivos estén disponibles aquí:
\\?\C:\ProgramData\Microsoft\Windows\WER\ReportArchive\AppCrash_anfibius_uwu.exe_c15a951faba2a47446c976c8c4c8eff1cd528c9_8346ef8b_c6e0544d-72ef-47e4-aedc-78557ec87af8

Símbolo de análisis: 
Nueva búsqueda de una solución: 0
Identificador de informe: da2e3175-c8d2-403b-974c-ea5490ffa265
Estado del informe: 268435456
Depósito con algoritmo hash: c542126fc83136f9ad767a1185e03e93
GUID de CAB: 0"
Información,12/12/2025 20:56:01,Windows Error Reporting,1001,Ninguno,"Depósito con errores , tipo 0
Nombre de evento: APPCRASH
Respuesta: No disponible
Identificador de archivo CAB: 0

Firma del problema:
P1: anfibius_uwu.exe
P2: 1.0.0.1
P3: 693d0db3
P4: flutter_windows.dll
P5: 0.0.0.0
P6: 6930abae
P7: c000041d
P8: 000000000001ccd0
P9: 
P10: 

Archivos adjuntos:

Es posible que estos archivos estén disponibles aquí:
\\?\C:\ProgramData\Microsoft\Windows\WER\ReportQueue\AppCrash_anfibius_uwu.exe_ffea957352e17ca1b3c8f4b2c255652198cb2b0_8346ef8b_9595ed76-2ddd-468c-9967-4781ad52aaf1

Símbolo de análisis: 
Nueva búsqueda de una solución: 0
Identificador de informe: e4f49ab5-d8c2-4384-8a0d-f48b0ec44f0e
Estado del informe: 4100
Depósito con algoritmo hash: 
GUID de CAB: 0"
Error,12/12/2025 20:56:00,Application Error,1000,Eventos de bloqueo de aplicación,"Nombre de aplicación con errores: anfibius_uwu.exe, versión: 1.0.0.1, marca de tiempo: 0x693d0db3
Nombre del módulo con errores: flutter_windows.dll, versión: 0.0.0.0, marca de tiempo: 0x6930abae
Código de excepción: 0xc000041d
Desplazamiento con errores: 0x000000000001ccd0
Id. de proceso con errores: 0x1494
Tiempo de inicio de aplicación con errores: 0x1DC6BC615569E5E
Ruta de aplicación con errores: C:\anfibiusConnect\anfibius_uwu.exe
Ruta de módulo con errores: C:\anfibiusConnect\flutter_windows.dll
Id. de informe: e4f49ab5-d8c2-4384-8a0d-f48b0ec44f0e
Nombre completo del paquete con errores: 
Id. de aplicación relacionado con el paquete con errores: "
Información,12/12/2025 20:56:00,Windows Error Reporting,1001,Ninguno,"Depósito con errores , tipo 0
Nombre de evento: APPCRASH
Respuesta: No disponible
Identificador de archivo CAB: 0

Firma del problema:
P1: anfibius_uwu.exe
P2: 1.0.0.1
P3: 693d0db3
P4: flutter_windows.dll
P5: 0.0.0.0
P6: 6930abae
P7: c0000005
P8: 000000000001ccd0
P9: 
P10: 

Archivos adjuntos:
\\?\C:\ProgramData\Microsoft\Windows\WER\Temp\WER.b163e472-2fd3-4ede-884d-d0cf52331f6e.tmp.mdmp
\\?\C:\ProgramData\Microsoft\Windows\WER\Temp\WER.6e4a9b30-c2ee-4794-a016-74f32e89ba7f.tmp.WERInternalMetadata.xml
\\?\C:\ProgramData\Microsoft\Windows\WER\Temp\WER.5b8c6bc4-fd86-4078-8ccd-d03f7a3626f2.tmp.csv
\\?\C:\ProgramData\Microsoft\Windows\WER\Temp\WER.9eb258d3-6193-430f-b831-7574a3367813.tmp.txt
\\?\C:\ProgramData\Microsoft\Windows\WER\Temp\WER.32eb6262-b632-45d3-985b-abe559aae03c.tmp.xml
\\?\C:\Users\HP\AppData\Local\Temp\WER.3c78c8aa-3b38-4edc-8002-cd41474f1631.tmp.appcompat.txt

Es posible que estos archivos estén disponibles aquí:
\\?\C:\ProgramData\Microsoft\Windows\WER\ReportQueue\AppCrash_anfibius_uwu.exe_c15a951faba2a47446c976c8c4c8eff1cd528c9_8346ef8b_cab_c6e0544d-72ef-47e4-aedc-78557ec87af8

Símbolo de análisis: 
Nueva búsqueda de una solución: 0
Identificador de informe: da2e3175-c8d2-403b-974c-ea5490ffa265
Estado del informe: 4
Depósito con algoritmo hash: 
GUID de CAB: 0"
Error,12/12/2025 20:55:59,Application Error,1000,Eventos de bloqueo de aplicación,"Nombre de aplicación con errores: anfibius_uwu.exe, versión: 1.0.0.1, marca de tiempo: 0x693d0db3
Nombre del módulo con errores: flutter_windows.dll, versión: 0.0.0.0, marca de tiempo: 0x6930abae
Código de excepción: 0xc0000005
Desplazamiento con errores: 0x000000000001ccd0
Id. de proceso con errores: 0x1494
Tiempo de inicio de aplicación con errores: 0x1DC6BC615569E5E
Ruta de aplicación con errores: C:\anfibiusConnect\anfibius_uwu.exe
Ruta de módulo con errores: C:\anfibiusConnect\flutter_windows.dll
Id. de informe: da2e3175-c8d2-403b-974c-ea5490ffa265
Nombre completo del paquete con errores: 
Id. de aplicación relacionado con el paquete con errores: "
Información,12/12/2025 20:34:31,Microsoft-Windows-Security-SPP,16384,Ninguno,El servicio de protección de software se programó correctamente para reiniciarse a las 2026-01-17T18:10:31Z. Motivo: RulesEngine.
Información,12/12/2025 20:33:54,Microsoft-Windows-Security-SPP,16394,Ninguno,La migración de nivel inferior sin conexión se realizó correctamente.
Información,12/12/2025 19:51:22,Microsoft-Windows-Security-SPP,16384,Ninguno,El servicio de protección de software se programó correctamente para reiniciarse a las 2026-01-17T18:10:22Z. Motivo: RulesEngine.
Información,12/12/2025 19:50:52,Microsoft-Windows-Security-SPP,16394,Ninguno,La migración de nivel inferior sin conexión se realizó correctamente.
